//ItemType	ItemIndex	ItemLevel	ItemName
0	0	0	"Kris"								
0	1	0	"Short Sword"						
0	2	0	"Rapier"							
0	3	0	"Katana"							
0	4	0	"Sword of Assassin"					
0	5	0	"Blade"								
0	6	0	"Gladius"							
0	7	0	"Falchion"							
0	8	0	"Serpent Sword"						
0	9	0	"Sword of Salamander"				
0	10	0	"Light Saber"						
0	11	0	"Legendary Sword"					
0	12	0	"Heliacal Sword"					
0	13	0	"Double Blade"						
0	14	0	"Lightning Sword"					
0	15	0	"Giant Sword"						
0	16	0	"Sword of Destruction"				
0	17	0	"Dark Breaker"						
0	18	0	"Thunder Blade"						
0	19	0	"Divine Sword of Archangel"			
0	20	0	"Knight Blade"						
0	21	0	"Dark Reign Blade"					
0	22	0	"Bone Blade"						
0	23	0	"Explosion Blade"					
0	24	0	"Daybreak"							
0	25	0	"Sword Dancer"						
0	26	0	"Archon Guardian Blade"				
0	31	0	"Rune Blade"						
1	0	0	"Small Axe"							
1	1	0	"Hand Axe"							
1	2	0	"Double Axe"						
1	3	0	"Tomahawk"							
1	4	0	"Elven Axe"							
1	5	0	"Battle Axe"						
1	6	0	"Nikea Axe"							
1	7	0	"Larkan Axe"						
1	8	0	"Crescent Axe"						
2	0	0	"Mace"								
2	1	0	"Morning Star"						
2	2	0	"Flail"								
2	3	0	"Great Hammer"						
2	4	0	"Crystal Morning Star"				
2	5	0	"Crystal Sword"						
2	6	0	"Chaos Dragon Axe"					
2	7	0	"Elemental Mace"					
2	8	0	"Battle Scepter"					
2	9	0	"Master Scepter"					
2	10	0	"Great Scepter"						
2	11	0	"Lord Scepter"						
2	12	0	"Great Lord Scepter"				
2	13	0	"Divine Scepter of Archangel"		
2	14	0	"Solay Scepter"						
2	15	0	"Shining Scepter"					
3	0	0	"Light Spear"						
3	1	0	"Spear"								
3	2	0	"Dragon Lance"						
3	3	0	"Giant Trident"						
3	4	0	"Serpent Spear"						
3	5	0	"Double Poleaxe"					
3	6	0	"Halberd"							
3	7	0	"Berdysh"							
3	8	0	"Great Scythe"						
3	9	0	"Bill of Balrog"					
3	10	0	"Dragon Spear"						
4	0	0	"Short Bow"							
4	1	0	"Bow"								
4	2	0	"Elven Bow"							
4	3	0	"Battle Bow"						
4	4	0	"Tiger Bow"							
4	5	0	"Silver Bow"						
4	6	0	"Chaos Nature Bow"					
4	7	0	"Bolts"								
4	8	0	"Crossbow"							
4	9	0	"Golden Crossbow"					
4	10	0	"Arquebus"							
4	11	0	"Light Crossbow"					
4	12	0	"Serpent Crossbow"					
4	13	0	"Bluewing Crossbow"					
4	14	0	"Aquagold Crossbow"					
4	15	0	"Arrows"							
4	16	0	"Saint Crossbow"					
4	17	0	"Celestial Bow"						
4	18	0	"Divine Crossbow of Archangel"		
4	19	0	"Great Reign Crossbow"				
4	20	0	"Arrow Viper Bow"					
4	21	0	"Sylph Wind Bow"					
4	22	0	"Albatross Bow"						
5	0	0	"Skull Staff"						
5	1	0	"Angelic Staff"						
5	2	0	"Serpent Staff"						
5	3	0	"Thunder Staff"						
5	4	0	"Gorgon Staff"						
5	5	0	"Legendary Staff"					
5	6	0	"Staff of Resurrection"				
5	7	0	"Chaos Lightning Staff"				
5	8	0	"Staff of Destruction"				
5	9	0	"Dragon Soul Staff"					
5	10	0	"Divine Staff of Archangel"			
5	11	0	"Staff of Kundun"					
5	12	0	"Grand Viper Staff"					
5	13	0	"Platina Wing Staff"				
6	0	0	"Small Shield"						
6	1	0	"Horn Shield"						
6	2	0	"Kite Shield"						
6	3	0	"Elven Shield"						
6	4	0	"Buckler"							
6	5	0	"Dragon Slayer Shield"				
6	6	0	"Skull Shield"						
6	7	0	"Spiked Shield"						
6	8	0	"Tower Shield"						
6	9	0	"Plate Shield"						
6	10	0	"Large Round Shield"				
6	11	0	"Serpent Shield"					
6	12	0	"Bronze Shield"						
6	13	0	"Chaos Dragon Shield"				
6	14	0	"Legendary Shield"					
6	15	0	"Grand Soul Shield"					
6	16	0	"Elemental Shield"					
7	0	0	"Bronze Helm"						
7	1	0	"Dragon Helm"						
7	2	0	"Pad Helm"							
7	3	0	"Legendary Helm"					
7	4	0	"Bone Helm"							
7	5	0	"Leather Helm"						
7	6	0	"Scale Helm"						
7	7	0	"Sphinx Helm"						
7	8	0	"Brass Helm"						
7	9	0	"Plate Helm"						
7	10	0	"Vine Helm"							
7	11	0	"Silk Helm"							
7	12	0	"Wind Helm"							
7	13	0	"Spirit Helm"						
7	14	0	"Guardian Helm"						
7	16	0	"Black Dragon Helm"					
7	17	0	"Dark Phoenix Helm"					
7	18	0	"Grand Soul Helm"					
7	19	0	"Divine Helm"						
7	21	0	"Great Dragon Helm"					
7	22	0	"Dark Soul Helm"					
7	24	0	"Red Spirit Helm"					
7	25	0	"Light Plate Helm"					
7	26	0	"Adamantine Helm"					
7	27	0	"Dark Steel Helm"					
7	28	0	"Dark Master Helm"					
7	29	0	"Dragon Knight Helm"				
7	30	0	"Venom Mist Helm"					
7	31	0	"Sylphid Ray Helm"					
7	33	0	"Sunlight Helm"						
7	34	0	"Ashcrow Helm"						
7	35	0	"Eclipse Helm"						
7	36	0	"Iris Helm"							
7	38	0	"Glorious Helm"						
7	39	0	"Archon Guardian Helm"				
8	0	0	"Bronze Armor"						
8	1	0	"Dragon Armor"						
8	2	0	"Pad Armor"							
8	3	0	"Legendary Armor"					
8	4	0	"Bone Armor"						
8	5	0	"Leather Armor"						
8	6	0	"Scale Armor"						
